Year,Yield,District_Belagavi,District_ChickkaManglur,District_Dakshinakannada,District_Davanagere,District_Hassan,District_Kodagu,District_Mysuru,District_Shivamogga,District_Udupi,District_Uttarkannada,Tmax_cA_1,Tmax_cA_2,Tmax_cA_3,Tmax_cA_4,Tmax_cA_5,Tmax_cD_1,Tmax_cD_2,Tmax_cD_3,Tmax_cD_4,Tmax_cD_5,Tmin_cA_1,Tmin_cA_2,Tmin_cA_3,Tmin_cA_4,Tmin_cA_5,Tmin_cD_1,Tmin_cD_2,Tmin_cD_3,Tmin_cD_4,Tmin_cD_5,Rain_cA_1,Rain_cA_2,Rain_cA_3,Rain_cA_4,Rain_cA_5,Rain_cD_1,Rain_cD_2,Rain_cD_3,Rain_cD_4,Rain_cD_5,RHI_cA_1,RHI_cA_2,RHI_cA_3,RHI_cA_4,RHI_cA_5,RHI_cD_1,RHI_cD_2,RHI_cD_3,RHI_cD_4,RHI_cD_5,RHII_cA_1,RHII_cA_2,RHII_cA_3,RHII_cA_4,RHII_cA_5,RHII_cD_1,RHII_cD_2,RHII_cD_3,RHII_cD_4,RHII_cD_5
1985.0,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.354426676,1.6637502765,1.8764218645000001,2.0345568099999998,1.2204412425,0.29233050399999994,0.46586756900000004,0.12361938699999997,0.9914231619999998,-2.440882485,0.661098791,0.819012806,0.5769645290000001,1.131186856,0.2203145895,0.0018675820000000343,0.6816722260000001,-0.10644972799999997,0.16894697599999997,-0.440629179,-0.8677787905000001,-0.7822159925,-0.5571153609999999,0.42938619100000003,-0.2310727915,0.08786928299999996,-0.0066535229999999945,-0.17406445999999998,0.29316924600000005,0.462145583,-2.7387851635000002,-2.2364770015,-1.778155321,-2.1007166795,-0.5800697,-1.0762093810000004,0.080327767,-0.43750537199999995,-0.12385686899999993,1.1601394,-2.8543647615000003,-2.169587664,-2.2798481585,-2.3798859205,-0.828868666,-0.14959839899999983,-0.09516964399999983,-0.20265893699999982,-0.7307819850000001,1.657737332
1986.0,2715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244361294,1.0060352435,2.379268343,1.2091858255,0.4928784335,-0.438710884,1.035446923,-0.585764138,-0.5827217530000001,-0.985756867,0.5012507535,0.7972733009999999,0.42125577200000003,0.5504273245,0.466427675,-0.030005689000000058,0.903612878,-0.24303763,-0.301908643,-0.93285535,-0.7984134224999999,-0.8165537565000001,-0.748255899,0.4086451475,-0.2408904005,-0.22290820700000002,-0.05902373900000002,0.16385752599999992,2.084879409,0.481780801,-2.0952543905,-1.786326201,-2.0788173125,-1.5345839755,-0.821868214,0.6102784270000001,-0.6188927479999997,0.13850696500000037,0.44081285700000006,1.643736428,-2.4706897495,-1.7504125865,-3.0940890889999997,-1.443453157,-0.2743253355,0.4809732330000003,-0.9184825730000001,0.39323942200000017,1.7081488079999998,0.548650671
1987.0,2602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3397543095,1.3925318359999999,1.3670357905,1.9452092300000001,0.775819526,-1.678324763,-0.07656931199999994,0.10530852099999999,-0.029839587999999972,-1.551639052,1.308700097,1.129237278,1.0883447725,1.4115596424999999,0.466427675,-1.2933350300000002,0.328915744,0.30440711499999995,-0.2199696830000002,-0.93285535,-0.38492358400000004,-0.7268745400000001,-0.7034297125,-0.672174446,-0.2245277185,-0.15719246199999998,-0.238382172,0.230766645,0.18653534000000005,0.449055437,-2.353048409,-1.9001319620000001,-2.473849742,-2.5852930335,-0.7070139195,1.19898653,0.16727735199999993,0.0932875339999999,0.518962159,1.414027839,-3.095578525,-2.1058188065000003,-2.1474607505,-2.177774867,-0.7722000045,1.9667635300000006,0.5291539410000001,-0.17966458099999993,0.3338496000000002,1.544400009
1988.0,2506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4500300235,1.646316279,0.8258427135,0.7919012409999999,0.250357497,0.848473359,0.1617125140000002,0.5950758090000001,-0.49812627799999987,-0.500714994,1.2704692575,1.194834593,0.6239513475,0.5069470045,0.130818922,0.4530810409999999,-0.15920216999999992,0.33718313299999997,0.04279536700000003,-0.261637844,-0.9669175274999999,-0.6404563855000001,0.666879942,-0.132745118,-0.0535376935,0.06540752500000002,-0.411218481,-2.666414156,-1.301733394,0.107075387,-2.397777612,-2.0512685185,-1.2261155270000001,-1.3293012814999998,-0.3261812605,-0.4176899399999998,0.022703603000000072,0.3061651380000001,-0.05677484700000002,0.652362521,-2.4553800900000002,-1.546406733,-1.111775127,-0.72776424,-0.6386238735,0.15987668600000005,0.07196773999999984,-0.8968279579999999,0.49788873399999994,1.277247747
1990.0,3117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4412914095,0.4301789025,0.8027456575,1.523925435,0.4322481995,-0.628748511,0.15302130099999994,0.048651055,0.8127280020000001,-0.864496399,1.3365490695000002,0.7961369005,0.79878096,0.8728157750000001,0.4888015915,-0.47010961100000004,0.37050075299999996,-0.012476091999999994,0.17020239599999998,-0.977603183,-0.6094681980000001,-0.743179852,-0.7156389215,-0.7745269655,-0.3881545375,0.843744846,-0.20577154799999997,0.22909148099999999,-0.018169698999999984,0.776309075,-2.333502364,-2.044984917,-2.1875822225,-1.9143448185,-1.1120264305,0.7211740439999998,-0.302656402,0.3054134949999998,-0.9317121649999998,2.224052861,-2.063207217,-1.2152130605,-1.5671283245,-1.890916361,-0.7114835815,1.608574624,-0.13930282500000013,0.013878437000000021,-0.33463216600000023,1.422967163
1991.0,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.415475055,1.122520508,1.5528831455,0.9997436915,0.3918280435,-0.16947059400000009,0.056625681999999955,0.548464751,-0.388829593,-0.783656087,0.489338417,0.573817448,0.51468284,0.3137440945,0.28743634,-0.533535034,0.279754732,0.555720148,-0.429943383,-0.57487268,-0.881769455,-0.7908728899999999,-0.7439839775,0.916435453,-0.404517219,-0.07242696800000004,-0.11038547200000004,0.05615806900000009,3.2255252,0.809034438,-2.066981929,-2.034511761,-2.703447926,-1.734651302,-1.3477799815,0.4318667260000002,0.05621711800000018,-1.4471360679999998,0.44934709399999995,2.695559963,-1.4931291575,-1.5990370239999998,-1.8859363705,-1.2482519605,-0.5617164045,0.032702664999999964,-0.033292842000000045,-0.7365685370000001,0.10159873500000005,1.123432809
1993.0,2829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2921167055,1.5625262064999998,1.0389193545,1.436177539,0.63434898,0.8245956529999999,0.532706489,0.02076780900000008,-0.511723594,-1.26869796,-1.371127934,-1.5376491455,-1.7892565674999998,-1.494748854,-0.8983812535,0.6385199099999999,-0.3157764089999999,0.0563372230000001,-0.5072791379999999,1.796762507,-0.9466622415,-0.6845389205,-0.46140962350000003,-0.6465863165,0.176357987,0.060604769,-0.13577509099999996,-0.566396519,0.23771159900000005,-0.352715974,-2.4924185315000003,-1.881839571,-1.4699749999999998,-1.6892436475000001,-1.0757566535,-0.3015281670000003,-0.5395777219999998,-1.382917402,0.35853178500000005,2.151513307,-2.7029691815000003,-2.210181358,-1.4663864665,-1.483288924,-0.8693462815,-0.706557133,-0.5703596200000001,-0.187605279,1.3139965719999998,1.738692563
1995.0,3242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.975402683,1.5608362485,1.2955742705,1.243885063,0.715189292,0.0015506439999999344,-0.41317813700000006,0.24823156099999988,0.022856098000000102,-1.430378584,1.464363275,1.0161835515,1.217827274,0.9807319375000001,0.6454190095,-0.022599331999999972,-0.604977475,-0.22336113800000001,-0.04562992900000007,-1.290838019,-0.912646727,-0.654906647,-0.466492245,-0.4473065535,-0.330885151,0.2555131199999999,0.11100054600000009,-0.39966978200000003,0.043857111000000004,0.661770302,-1.9388529010000002,-2.0064907635,-1.986976394,-1.7107621645000002,-0.9064976935,0.05374189400000007,0.06720215100000004,-0.8551475179999999,0.29279092500000004,1.812995387,-2.7576669775,-1.827586766,-1.5288834965,-1.7134251955,-0.950301512,-0.03436191299999969,0.4689183200000002,-0.9089911370000001,-0.15261422300000005,1.900603024
1996.0,3202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6816076295,1.003741729,0.996648999,1.186837194,0.796029604,-0.29409053500000004,-0.24825364000000005,-0.6354650619999999,0.061954465999999986,-1.592059208,1.4484266395,0.7934852994999999,-1.5046118785,-1.36640026,-0.764137752,-0.342295405,-0.873427537,-0.4233510730000001,0.18108270199999987,1.528275504,-0.876127369,-0.660962947,-0.0476595715,-0.738323887,-0.2736157645,0.32855183599999993,-0.06416517599999993,-0.999883531,-0.09057585599999995,0.547231529,-2.422708215,-0.8524630875000001,-0.747763015,-1.0381680485,-0.4470805175,0.7777189679999998,0.7306784270000001,1.0706519859999999,-0.791330363,0.894161035,-2.602967075,-1.349352804,-1.420412584,-1.5953547504999999,-0.5860029735,0.5095151360000001,0.4146839560000002,0.532971678,-0.262402107,1.172005947
1997.0,2989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159716888,1.916086184,2.352693017,2.415542473,0.9779203065,0.5161535179999999,-0.10660885600000003,0.5044695299999997,0.6044386839999998,-1.955840613,-1.8166260639999998,-1.9586545439999998,-2.0323801305,-1.8186019610000002,-1.0102508375,0.03534645199999997,0.16931110399999993,0.0945789330000002,0.22634153400000012,2.020501675,-0.9326638359999999,-0.757851787,-0.733904429,-0.703844695,-0.383245733,0.142977574,-0.153588858,0.19256046599999999,0.017876793999999974,0.766491466,-2.63707219,-2.167774735,-2.4393203459999997,-1.967812586,-1.0334419135,0.231512704,-0.5932930000000001,0.37859177399999977,-0.08508695600000027,2.066883827,-2.619044486,-2.0463852215,-2.7771455635,-2.568329026,-1.1364985425,0.3601216919999999,0.4253239969999998,-0.02058884900000013,-0.1327780139999999,2.272997085
