Final_Approximation,HH_L1,HL_L1,LH_L1,HH_L2,HL_L2,LH_L2,HH_L3,HL_L3,LH_L3,Matlab_coeff
249.91170611248438,-0.744544688,0.627727656,-1984.16401092,-0.9015806960000203,0.9323926207500102,-992.7576033744999,-1.75311694306254,0.5026600603437699,-497.01737498115625,749.7351183374532
0.76129326975,-0.466918634,-0.7090453929999999,-0.303234753,0.3658134009999996,-0.5628681230000001,-0.027892196000000258,-0.28713575449999984,-0.48897601500000004,-0.49241183199999994,2.28387980925
-0.22535330314062496,1.230463597,0.2423064425000001,0.5331599085000001,1.2957226820000003,0.06054856399999997,-0.4896470597499999,0.4342452419374999,-0.30576645453125,-0.78576727878125,-0.6760599094218749
-1.238160713328125,-0.1864532430000001,0.054928094500000024,-0.4926129505000003,0.003145027499999953,0.35546539575,-0.3074603892500001,0.2529119298125003,-0.031520149906249795,-1.81851007284375,-3.7144821399843746
-2.009827374484375,0.15731782400000016,-1.53378453,-0.010726993999999879,-0.09001303999999999,0.07343971325000004,-0.94211066575,0.05846799106250011,-0.007034829781250029,-0.2066777055312503,-6.029482123453125
349.32384693929686,-0.03187327100000009,-0.1598480375,-0.014069053500000095,0.39041007299999997,0.41004969,0.2871466915,83.61265329131264,42.18085821834382,702.3579458147813,1047.9715408178906
0.0,0.2219406519999999,-0.021739505000000048,0.792642552,-0.7903880874999998,-0.3552506305,0.29095520575,0.0,0.0,0.0,0.0
0.0,-0.13658790200000004,-0.15570875699999998,-0.17474367899999999,-0.005905405500000072,0.038654063750000134,0.4026654729999999,0.0,0.0,0.0,0.0
251.57397258315623,-0.47085561899999995,-0.5807595315,-0.0664808335,-0.21815051224999982,-0.03057157387500009,0.0017607331249998026,-0.9597904132500579,0.5463800995000289,-499.6249991324375,754.7219177494687
0.99944697090625,-0.26747205799999996,0.358490142,-1.4860786400000001,0.12954191900000023,-0.031741872250000025,-0.00470991049999947,1.1122248140000002,0.8096680034374999,-0.56889531,2.99834091271875
-0.304250359703125,0.07787072099999992,-0.047088016499999996,0.08389027849999997,-0.3379051172499996,0.7868973268749999,-0.09260646987499999,-1.2808259411875003,0.54534763053125,-0.7946802697812501,-0.9127510791093749
-1.164465604046875,-0.2995786589999999,-0.21031220150000002,0.16567029349999995,-82.80743149325,-41.346284253374996,1319.731545170625,-0.04808020843749983,-0.06784778715624995,-1.5801526284062501,-3.493396812140625
-1.757493246421875,-0.8944165799999999,-0.46938783500000003,0.47974086899999996,0.0,0.0,0.0,0.17936690256249976,0.09733176353125006,-0.3195380094687501,-5.272479739265625
422.2007335502031,-0.8947492559999999,0.42773940999999993,-1.485491025,0.0,0.0,0.0,55.358061674812504,27.500939484781252,848.2988414706562,1266.6022006506093
0.0,1.6864878080000005,0.6435307730000001,-0.23296547700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.6992205149999997,0.4501508005,-0.26928249049999975,-0.9399780595000061,1.179653526000003,-995.55757482625,0.0,0.0,0.0,0.0
252.42909537631252,0.5760123370000003,-0.30066199149999995,-0.14949920349999957,-0.3102359342499996,0.2620137251249999,0.15771023937500006,-1.3996754417500217,0.5907492248750108,-501.92071597600005,757.2872861289376
1.45619872415625,0.564669726,0.5661327040000002,0.15847799400000007,-1.054059718,-0.3392962137500002,-0.71002882,-0.13561279599999998,0.07586748312500002,0.02058162293750021,4.36859617246875
0.04575183851562503,0.551986224,-0.20760391599999994,-1.3434330500000002,0.003263424499999834,-0.944078259,-0.02661356199999998,0.1405837325624999,-0.08195030890624999,-1.2389677410312498,0.1372555155468751
-1.458776218765625,0.13187071399999994,0.7648961850000001,0.8730964760000002,0.3005704749999999,-0.7000031554999999,-0.5240998795,-0.8756350369375003,-0.24596536003125008,-2.07403368746875,-4.3763286562968755
