Final_Approximation,H_L1,H_L2
7.945500000000000895e+00,7.199999999999917577e-02,4.560000000000004050e-01
9.078749999999999432e+00,1.390000000000002345e-01,5.024999999999995026e-01
1.038100000000000023e+01,1.209999999999995524e-01,8.300000000000000711e-01
1.211074999999999946e+01,5.900000000000016342e-02,9.344999999999998863e-01
1.385524999999999984e+01,-6.400000000000005684e-02,1.073499999999999233e+00
1.563974999999999937e+01,-8.099999999999951683e-02,-7.445000000000003837e-01
1.399549999999999983e+01,-1.209999999999995524e-01,-7.300000000000004263e-01
1.318550000000000111e+01,7.599999999999962341e-02,-5.660000000000007248e-01
1.248000000000000043e+01,8.499999999999996447e-02,-7.479999999999975557e-01
1.085599999999999987e+01,1.580000000000003624e-01,-4.939999999999997726e-01
1.173000000000000043e+01,2.039999999999997371e-01,1.715000000000001634e+00
1.421799999999999997e+01,2.919999999999998153e-01,3.680000000000021032e-01
1.423150000000000048e+01,1.120000000000000995e-01,-2.289999999999992042e-01
1.412899999999999956e+01,8.399999999999963052e-02,2.609999999999992326e-01
1.290024999999999977e+01,1.280000000000001137e-01,-4.535000000000000142e-01
1.294950000000000045e+01,2.469999999999989981e-01,3.920000000000012363e-01
1.414550000000000018e+01,1.670000000000015916e-01,6.720000000000005969e-01
1.535200000000000031e+01,1.560000000000005826e-01,1.709999999999993747e-01
1.630174999999999841e+01,1.150000000000002132e-01,1.335499999999999687e+00
1.920224999999999937e+01,1.200000000000045475e-02,1.015500000000002956e+00
2.062950000000000017e+01,-4.299999999999926104e-02,5.499999999999971578e-01
1.978774999999999906e+01,-1.379999999999999005e-01,-1.033499999999996533e+00
1.867875000000000085e+01,-7.699999999999995737e-02,-3.197500000000001563e+00
1.217874999999999908e+01,-5.700000000000038369e-02,-1.158500000000000085e+00
1.113974999999999937e+01,-2.299999999999968736e-02,-1.293499999999999872e+00
9.172000000000000597e+00,-1.669999999999998153e-01,3.710000000000004405e-01
9.543499999999999872e+00,-3.000000000000113687e-02,-4.849999999999994316e-01
1.060350000000000037e+01,5.599999999999916156e-02,1.680999999999999162e+00
1.207499999999999929e+01,9.999999999994457767e-04,1.469999999999984652e-01
1.207525000000000048e+01,4.700000000000059686e-02,-3.524999999999991473e-01
1.087124999999999986e+01,8.000000000000007105e-03,-1.004500000000000171e+00
9.517500000000000071e+00,-9.300000000000085976e-02,-9.899999999999984368e-01
7.925499999999999545e+00,-2.719999999999993534e-01,-3.609999999999997655e-01
8.701750000000000540e+00,-1.289999999999995595e-01,9.754999999999984794e-01
1.062825000000000131e+01,1.110000000000006537e-01,6.635000000000008669e-01
1.226374999999999993e+01,5.600000000000004974e-02,8.384999999999998010e-01
1.314700000000000024e+01,8.900000000000041211e-02,-4.300000000000281375e-02
1.282450000000000045e+01,-1.250000000000000000e-01,-2.610000000000010090e-01
1.250225000000000009e+01,-1.320000000000005613e-01,-9.049999999999869260e-02
1.240975000000000072e+01,-7.200000000000006395e-02,6.749999999999900524e-02
1.258699999999999974e+01,-2.450000000000001066e-01,1.640000000000014779e-01
1.189349999999999952e+01,-2.099999999999990763e-02,-4.799999999999986500e-01
1.092074999999999996e+01,-7.800000000000029132e-02,-6.554999999999999716e-01
1.000999999999999979e+01,2.000000000000001776e-01,-3.820000000000014495e-01
9.530000000000001137e+00,7.699999999999995737e-02,-2.080000000000001847e-01
9.188749999999998863e+00,1.700000000000034817e-02,-3.315000000000001279e-01
9.809000000000001052e+00,2.800000000000046896e-02,9.939999999999997726e-01
1.008975000000000044e+01,-9.299999999999997158e-02,-8.895000000000017337e-01
9.914250000000000895e+00,1.139999999999998792e-01,1.524999999999998579e-01
1.007075000000000031e+01,2.029999999999994031e-01,-1.574999999999988631e-01
9.481500000000000483e+00,8.299999999999929656e-02,-2.269999999999985363e-01
9.234249999999999403e+00,4.600000000000026290e-02,-2.764999999999986358e-01
8.421250000000000568e+00,8.199999999999985079e-02,-5.185000000000012932e-01
8.205249999999999488e+00,2.089999999999996305e-01,1.465000000000014069e-01
7.895500000000000185e+00,1.280000000000001137e-01,-2.259999999999999787e-01
7.329749999999999766e+00,-4.300000000000014921e-02,-2.004999999999999005e-01
7.010749999999999815e+00,8.199999999999985079e-02,-1.864999999999996660e-01
6.428499999999999659e+00,7.000000000000028422e-02,-3.049999999999997158e-01
6.276250000000000107e+00,9.899999999999931077e-02,-5.550000000000032685e-02
6.067249999999999588e+00,1.509999999999998010e-01,-1.615000000000001990e-01
5.703250000000000597e+00,1.449999999999995737e-01,-3.049999999999997158e-02
5.715999999999999304e+00,5.399999999999938183e-02,1.860000000000008313e-01
6.297000000000000597e+00,5.100000000000015632e-02,3.429999999999999716e-01
6.686749999999999972e+00,5.999999999999960920e-02,1.564999999999994174e-01
7.044499999999999318e+00,1.099999999999923261e-02,-1.360000000000001208e-01
6.567750000000000199e+00,1.170000000000008811e-01,1.350000000000051159e-02
6.384249999999999758e+00,1.089999999999999858e-01,-3.455000000000003624e-01
5.945750000000000313e+00,-4.600000000000026290e-02,8.449999999999935341e-02
5.586250000000000604e+00,-4.699999999999997513e-01,-1.364999999999998437e-01
5.812500000000000000e+00,1.970000000000000639e-01,3.750000000000000000e-01
6.133249999999999424e+00,1.589999999999998082e-01,1.105000000000000426e-01
6.738000000000000433e+00,9.299999999999997158e-02,4.440000000000008384e-01
7.340500000000000469e+00,7.100000000000061817e-02,1.200000000000001066e-01
7.443750000000000533e+00,4.899999999999948841e-02,1.714999999999999858e-01
7.763499999999999623e+00,9.799999999999986500e-02,2.690000000000001279e-01
8.145749999999999602e+00,7.900000000000062528e-02,2.285000000000003695e-01
8.414249999999999119e+00,-1.790000000000002700e-01,4.950000000000009948e-02
8.893750000000000711e+00,1.140000000000007674e-01,2.145000000000010232e-01
8.957000000000000739e+00,1.150000000000002132e-01,-2.050000000000000711e-01
8.566000000000000725e+00,3.509999999999999787e-01,6.200000000000116529e-02
8.666249999999999787e+00,2.709999999999990195e-01,1.104999999999982663e-01
8.593750000000000000e+00,2.899999999999991473e-01,-1.149999999999806732e-02
8.658249999999998892e+00,3.339999999999996305e-01,7.850000000000001421e-02
8.581250000000000711e+00,4.740000000000001990e-01,-1.225000000000004974e-01
7.841250000000000497e+00,4.209999999999993747e-01,-4.775000000000000355e-01
7.177999999999999936e+00,5.800000000000000711e-01,-1.010000000000008669e-01
7.100500000000000256e+00,2.349999999999994316e-01,-8.699999999999974420e-02
7.190749999999999531e+00,3.239999999999998437e-01,9.500000000000063949e-03
6.904250000000000220e+00,-1.077999999999997627e+00,-3.104999999999993321e-01
6.136499999999999844e+00,1.207000000000000739e+00,-3.419999999999996376e-01
6.152499999999999858e+00,-7.789999999999999147e-01,3.210000000000006182e-01
6.343499999999999694e+00,9.000000000000341061e-03,-1.410000000000000142e-01
6.435000000000000497e+00,-2.850000000000001421e-01,6.699999999999928235e-02
6.251749999999999474e+00,-1.630000000000002558e-01,-3.215000000000003411e-01
5.403999999999999915e+00,-1.160000000000014353e-01,-6.029999999999997584e-01
6.522499999999999964e+00,-6.440000000000001279e-01,2.389999999999989910e-01
7.292749999999999844e+00,-2.439999999999997726e-01,4.884999999999992681e-01
7.988999999999999879e+00,-2.880000000000002558e-01,2.370000000000000995e-01
8.147249999999999659e+00,6.229999999999993321e-01,-9.349999999999880629e-02
8.103500000000000369e+00,9.310000000000009379e-01,6.099999999999994316e-02
8.260999999999999233e+00,2.299999999999986500e-01,1.330000000000008953e-01
8.446749999999999758e+00,4.260000000000001563e-01,1.855000000000011084e-01
9.091750000000001108e+00,-2.399999999999984368e-01,-7.749999999999879208e-02
9.308250000000001023e+00,6.199999999999938893e-02,1.444999999999989626e-01
1.020025000000000048e+01,-2.729999999999996874e-01,8.250000000000135003e-02
1.019425000000000026e+01,-5.890000000000004121e-01,-2.804999999999999716e-01
9.828000000000001180e+00,-4.100000000000001421e-01,5.320000000000000284e-01
1.045974999999999966e+01,-2.449999999999992184e-01,3.875000000000010658e-01
1.026924999999999955e+01,1.410000000000000142e-01,-5.424999999999986500e-01
1.022175000000000011e+01,3.150000000000012790e-01,-3.049999999999997158e-02
9.184750000000001080e+00,2.809999999999988063e-01,-5.284999999999993037e-01
9.659250000000000114e+00,4.309999999999991616e-01,6.445000000000007390e-01
1.168674999999999997e+01,3.589999999999999858e-01,1.046500000000001762e+00
1.332024999999999970e+01,-1.849999999999987210e-01,4.935000000000009379e-01
1.382974999999999888e+01,3.960000000000007958e-01,5.150000000000076739e-02
1.399124999999999908e+01,1.075000000000002842e+00,1.314999999999990621e-01
1.414049999999999940e+01,6.930000000000013927e-01,1.880000000000006111e-01
1.477225000000000144e+01,3.380000000000009663e-01,4.054999999999999716e-01
1.549549999999999983e+01,3.270000000000017337e-01,2.460000000000004405e-01
1.573874999999999957e+01,5.790000000000006253e-01,5.449999999999910472e-02
1.454599999999999937e+01,-1.925000000000000711e+00,-9.350000000000004974e-01
1.311100000000000065e+01,2.240000000000001990e-01,1.089999999999999858e-01
1.467149999999999821e+01,5.000000000002557954e-03,-4.910000000000014353e-01
8.429999999999999716e+00,-9.548000000000000043e+00,1.679000000000000270e+00
1.127500000000000036e+01,-6.379999999999999005e-01,1.955000000000001847e+00
1.540799999999999947e+01,5.110000000000010090e-01,8.399999999999998579e-01
1.578725000000000023e+01,-1.430000000000006821e-01,1.364999999999980673e-01
1.567350000000000065e+01,-9.679999999999999716e-01,5.899999999999927525e-02
1.610349999999999682e+01,-3.330000000000001847e-01,1.780000000000008242e-01
1.667575000000000074e+01,4.149999999999991473e-01,5.545000000000044338e-01
1.799300000000000210e+01,-2.240000000000001990e-01,5.869999999999997442e-01
1.798300000000000054e+01,-1.140000000000007674e-01,-3.939999999999983515e-01
1.728275000000000006e+01,7.860000000000013642e-01,-1.295000000000001705e-01
1.707225000000000037e+01,5.119999999999986784e-01,4.549999999999698730e-02
1.749150000000000205e+01,9.299999999999997158e-02,2.910000000000003695e-01
1.877450000000000330e+01,1.530000000000004690e-01,7.889999999999979252e-01
2.019200000000000017e+01,-8.500000000000085265e-02,5.709999999999979536e-01
2.084425000000000239e+01,-2.419999999999991047e-01,4.250000000000042633e-02
1.933899999999999864e+01,-3.090000000000010516e-01,-1.350999999999999091e+00
1.691375000000000028e+01,-2.259999999999990905e-01,-9.304999999999985505e-01
1.530300000000000082e+01,-1.869999999999993889e-01,-1.939999999999999503e+00
1.124024999999999963e+01,-5.329999999999994742e-01,-3.466499999999998138e+00
8.411749999999999616e+00,-3.780000000000001137e-01,2.195000000000000284e-01
8.822499999999999787e+00,7.000000000000028422e-02,4.169999999999980389e-01
1.464574999999999960e+01,3.079999999999998295e-01,5.031500000000001194e+00
1.581775000000000020e+01,7.009999999999987352e-01,-6.150000000000233058e-02
2.053749999999999787e+01,4.409999999999989484e-01,1.954000000000000625e+00
2.220649999999999835e+01,3.839999999999985647e-01,-8.129999999999988347e-01
1.982475000000000165e+01,4.310000000000009379e-01,-1.639499999999998181e+00
1.740850000000000009e+01,3.979999999999996874e-01,-5.199999999999960210e-02
1.611400000000000077e+01,1.029999999999997584e-01,-1.564999999999999503e+00
1.404024999999999856e+01,-7.699999999999995737e-02,-2.744999999999997442e-01
1.360699999999999932e+01,-1.999999999999992895e-01,2.139999999999986358e-01
1.309500000000000064e+01,-7.800000000000117950e-02,-3.820000000000014495e-01
1.385200000000000031e+01,-7.300000000000039790e-02,-4.499999999999992895e-02
1.522599999999999909e+01,3.599999999999958789e-02,-4.060000000000005826e-01
1.327700000000000102e+01,-9.800000000000075318e-02,-9.879999999999995453e-01
1.162100000000000044e+01,-3.500000000000014211e-02,3.919999999999994600e-01
1.235500000000000043e+01,6.999999999999850786e-02,1.109999999999988773e-01
1.139775000000000027e+01,-4.400000000000048317e-02,-1.317499999999999005e+00
7.810750000000000526e+00,-6.310000000000002274e-01,-1.201500000000000234e+00
9.194750000000000867e+00,-4.699999999999882050e-02,2.600500000000001144e+00
1.136175000000000068e+01,-3.389999999999986358e-01,3.249999999999886313e-02
1.210425000000000040e+01,-2.880000000000002558e-01,1.114999999999994884e-01
1.098399999999999999e+01,-1.859999999999999432e-01,-4.959999999999986642e-01
1.135650000000000048e+01,-8.400000000000140687e-02,5.660000000000025011e-01
1.194025000000000070e+01,-1.539999999999999147e-01,-9.450000000000002842e-02
1.128025000000000055e+01,-5.799999999999982947e-02,-4.265000000000007674e-01
1.092099999999999937e+01,-9.299999999999997158e-02,-1.580000000000012506e-01
1.095674999999999955e+01,-9.799999999999897682e-02,3.254999999999981242e-01
1.178699999999999903e+01,3.620000000000000995e-01,2.800000000000011369e-01
1.191399999999999970e+01,5.739999999999998437e-01,-3.899999999999792522e-02
1.193649999999999878e+01,-5.830000000000001847e-01,1.900000000000012790e-02
1.162800000000000011e+01,3.599999999999958789e-02,-4.579999999999984084e-01
1.101750000000000007e+01,2.800000000000046896e-02,-2.880000000000002558e-01
1.091550000000000153e+01,1.070000000000010942e-01,3.450000000000006395e-01
1.018475000000000108e+01,5.700000000000038369e-02,-5.664999999999995595e-01
1.078474999999999895e+01,-9.999999999999964473e-02,8.244999999999986784e-01
1.116399999999999970e+01,-1.639999999999997016e-01,1.419999999999994600e-01
1.134699999999999953e+01,-7.000000000000028422e-02,-4.529999999999994031e-01
1.095374999999999943e+01,-9.999999999994457767e-04,-8.350000000000079581e-02
9.928499999999999659e+00,-2.259999999999990905e-01,-3.579999999999987637e-01
1.077475000000000094e+01,-1.370000000000004547e-01,7.415000000000002700e-01
1.218374999999999986e+01,-2.900000000000009237e-01,1.974999999999997868e-01
1.298874999999999957e+01,2.059999999999995168e-01,4.184999999999998721e-01
1.287650000000000006e+01,-1.130000000000013216e-01,-3.010000000000001563e-01
1.285324999999999918e+01,-1.269999999999988916e-01,1.895000000000006679e-01
1.326725000000000065e+01,-1.250000000000000000e-01,3.014999999999989910e-01
1.338724999999999987e+01,-1.979999999999995097e-01,-1.494999999999997442e-01
1.327224999999999966e+01,-4.100000000000036948e-02,-1.884999999999994458e-01
1.276699999999999946e+01,-8.999999999999985789e-02,-2.310000000000016485e-01
1.296825000000000117e+01,-1.330000000000000071e-01,2.574999999999985079e-01
1.340674999999999883e+01,-1.819999999999994955e-01,1.974999999999997868e-01
1.370425000000000004e+01,-1.040000000000000924e-01,-4.949999999999832312e-02
1.369299999999999962e+01,9.199999999999963762e-02,1.570000000000000284e-01
1.373799999999999955e+01,-1.069999999999993179e-01,1.800000000000068212e-02
1.339799999999999969e+01,-6.000000000000227374e-03,-3.300000000000000711e-01
1.303174999999999883e+01,-1.830000000000007176e-01,3.185000000000002274e-01
1.313000000000000078e+01,-5.900000000000016342e-02,-5.650000000000012790e-01
1.240275000000000105e+01,-1.400000000000023448e-02,-6.044999999999998153e-01
1.108849999999999980e+01,1.199999999999956657e-02,-5.619999999999993889e-01
1.023174999999999990e+01,1.500000000000003553e-01,-3.814999999999990621e-01
9.231999999999999318e+00,1.689999999999995950e-01,-4.930000000000021032e-01
8.670749999999999957e+00,1.689999999999995950e-01,-1.684999999999980957e-01
8.193249999999999034e+00,-3.000000000000113687e-03,-4.425000000000007816e-01
7.347249999999999837e+00,1.760000000000001563e-01,-3.424999999999993605e-01
6.749249999999999972e+00,1.129999999999995453e-01,-3.445000000000000284e-01
5.775999999999999801e+00,-2.229999999999998650e-01,-5.730000000000003979e-01
4.577499999999999680e+00,-1.579999999999994742e-01,-5.980000000000007532e-01
3.450750000000000206e+00,1.889999999999991687e-01,-4.464999999999998970e-01
2.870000000000000107e+00,5.999999999999339195e-03,-5.999999999999996447e-01
2.701750000000000096e+00,5.899999999999927525e-02,-2.154999999999995808e-01
2.864749999999999908e+00,2.210000000000000853e-01,-1.485000000000002984e-01
1.414749999999999952e+00,-1.019999999999994245e-01,-3.664999999999998259e-01
7.489999999999999991e-01,-7.100000000000061817e-02,-1.879999999999999449e-01
4.462500000000000355e-01,-1.459999999999999076e-01,-8.850000000000002309e-02
6.624999999999999778e-01,2.539999999999995595e-01,4.210000000000000409e-01
1.380999999999999783e+00,5.799999999999982947e-02,2.230000000000000870e-01
1.433000000000000052e+00,5.999999999999960920e-02,1.699999999999990408e-02
1.479249999999999954e+00,4.300000000000014921e-02,-1.949999999999985079e-02
1.533500000000000085e+00,2.959999999999993747e-01,4.900000000000015454e-02
1.351249999999999840e+00,1.939999999999999503e-01,-1.585000000000003073e-01
1.081500000000000128e+00,1.650000000000000355e-01,-9.000000000000007994e-02
8.295000000000000151e-01,-7.300000000000039790e-02,-1.599999999999999201e-01
7.777499999999999414e-01,3.000000000000024869e-02,8.150000000000001688e-02
7.052499999999999325e-01,3.699999999999992184e-02,-6.750000000000000444e-02
8.332500000000000462e-01,1.520000000000001350e-01,9.050000000000002487e-02
3.519999999999999796e-01,1.019999999999994245e-01,-4.139999999999999236e-01
9.102500000000000036e-01,1.290000000000004476e-01,6.915000000000000036e-01
2.291250000000000231e+00,2.599999999999980105e-02,4.035000000000001918e-01
2.177500000000000213e+00,2.299999999999968736e-02,-2.360000000000002096e-01
1.286000000000000032e+00,6.200000000000116529e-02,-3.540000000000000924e-01
1.526750000000000052e+00,2.229999999999989768e-01,4.525000000000001243e-01
3.099000000000000199e+00,-2.000000000000667910e-03,6.469999999999997975e-01
3.475500000000000256e+00,5.900000000000105160e-02,-1.800000000000001599e-01
3.953749999999999876e+00,-2.390000000000007674e-01,8.274999999999996803e-01
4.424749999999999517e+00,-1.999999999998891553e-03,-7.214999999999998082e-01
3.370249999999999968e+00,-1.600000000000001421e-02,-4.865000000000003766e-01
3.006999999999999673e+00,6.600000000000072475e-02,2.299999999999999822e-01
4.282249999999999446e+00,1.100000000000100897e-02,9.935000000000000497e-01
6.316749999999999865e+00,-9.099999999999930367e-02,7.155000000000004690e-01
7.679499999999999993e+00,3.599999999999958789e-02,1.950000000000002842e-01
6.956249999999999822e+00,-3.999999999999559464e-03,-2.464999999999992752e-01
7.361750000000000682e+00,8.099999999999951683e-02,4.294999999999999929e-01
7.691500000000000448e+00,-1.149999999999984368e-01,1.500000000000003553e-01
9.808500000000000441e+00,-7.999999999999118927e-03,1.602000000000000313e+00
1.030400000000000027e+01,-5.360000000000004761e-01,-5.670000000000001705e-01
9.246999999999999886e+00,-1.869999999999993889e-01,-5.499999999999989342e-01
4.878249999999999531e+00,-3.850000000000006750e-01,-2.092500000000000249e+00
6.103500000000000369e+00,8.299999999999929656e-02,2.024000000000000021e+00
7.861499999999999488e+00,-1.280000000000001137e-01,7.899999999999973710e-02
8.048249999999999460e+00,4.600000000000026290e-02,-5.605000000000002203e-01
6.092000000000000526e+00,5.199999999999960210e-02,-1.616000000000000547e+00
5.303000000000000824e+00,-9.999999999994457767e-04,1.068999999999999950e+00
6.595500000000000362e+00,-1.110000000000006537e-01,1.299999999999990052e-02
8.080500000000000682e+00,-1.779999999999999361e-01,2.969999999999988205e-01
7.257249999999999979e+00,-2.590000000000003411e-01,-7.054999999999989058e-01
6.414250000000000007e+00,-5.500000000000060396e-02,-1.444999999999989626e-01
6.357000000000000206e+00,1.219999999999998863e-01,7.660000000000000142e-01
8.387999999999999901e+00,1.160000000000005471e-01,1.046999999999999709e+00
1.041825000000000045e+01,-8.400000000000051870e-02,7.124999999999985789e-01
9.725750000000001450e+00,-1.799999999999979394e-02,-1.071499999999998565e+00
8.623749999999999361e+00,1.309999999999993392e-01,2.005000000000016769e-01
9.009249999999999758e+00,-1.299999999999990052e-02,1.425000000000018474e-01
8.244749999999999801e+00,-1.070000000000002061e-01,-8.055000000000003268e-01
7.249249999999999972e+00,-1.559999999999996945e-01,2.884999999999990905e-01
7.953249999999999709e+00,-2.850000000000001421e-01,4.595000000000002416e-01
8.213500000000001577e+00,7.699999999999995737e-02,-3.800000000000025580e-02
7.653749999999999609e+00,4.759999999999999787e-01,-4.214999999999999858e-01
7.283500000000000085e+00,5.999999999999960920e-02,-1.539999999999999147e-01
6.544000000000000483e+00,2.809999999999996945e-01,-7.290000000000000924e-01
5.119500000000000384e+00,2.240000000000001990e-01,-7.869999999999999218e-01
3.784250000000000114e+00,1.370000000000004547e-01,-5.084999999999997300e-01
3.098500000000000032e+00,5.699999999999860734e-02,-1.399999999999996803e-01
1.824000000000000066e+00,-1.799999999999890576e-02,-7.010000000000000675e-01
1.502000000000000002e+00,-5.100000000000015632e-02,7.699999999999995737e-02
1.921250000000000124e+00,3.400000000000069633e-02,4.984999999999999432e-01
3.313749999999999751e+00,2.400000000000090949e-02,8.735000000000003872e-01
5.311250000000000249e+00,5.499999999999971578e-02,8.845000000000009521e-01
6.857499999999999929e+00,7.500000000000106581e-02,8.290000000000006253e-01
7.566749999999999865e+00,-3.200000000000002842e-02,1.449999999999995737e-02
7.019999999999999574e+00,2.789999999999999147e-01,-7.899999999999973710e-02
8.310500000000001108e+00,-2.130000000000009663e-01,1.070999999999999730e+00
1.040350000000000108e+01,-2.660000000000000142e-01,8.499999999999996447e-01
1.021100000000000030e+01,-1.200000000000045475e-02,-2.480000000000011084e-01
1.064349999999999952e+01,2.910000000000003695e-01,8.140000000000000568e-01
1.166650000000000098e+01,1.440000000000001279e-01,-1.660000000000003695e-01
1.190125000000000099e+01,1.699999999999945999e-02,3.525000000000009237e-01
1.251650000000000063e+01,1.630000000000002558e-01,5.299999999999904787e-02
1.275999999999999979e+01,-3.780000000000001137e-01,4.869999999999983231e-01
1.280850000000000044e+01,-2.999999999999936051e-02,-3.159999999999989484e-01
1.265350000000000108e+01,3.239999999999998437e-01,8.799999999999918998e-02
1.246875000000000000e+01,6.800000000000139266e-02,-6.949999999999789679e-02
1.237049999999999983e+01,1.109999999999988773e-01,4.899999999999948841e-02
1.251600000000000001e+01,-2.869999999999990337e-01,2.800000000000224532e-02
1.213899999999999935e+01,-6.199999999999938893e-02,-5.379999999999984794e-01
1.123700000000000010e+01,2.940000000000004832e-01,-3.109999999999999432e-01
1.049924999999999997e+01,-2.450000000000009948e-01,-2.034999999999982379e-01
9.991749999999999687e+00,-4.860000000000006537e-01,-3.655000000000008242e-01
