Final_Approximation,HH_L1,HL_L1,LH_L1
1801.25,-111.0,-54.5,-378.5
28.525,1.9000000000000021,-0.15000000000000036,-0.45000000000000284
27.975,-0.7000000000000028,1.75,-0.5500000000000007
25.525,-1.6999999999999957,0.4499999999999993,-0.4499999999999993
25.025,-0.10000000000000142,-0.6500000000000021,0.4499999999999993
25.75,0.6000000000000014,-1.0,-0.5999999999999943
24.825,-1.100000000000005,0.8499999999999996,0.8500000000000014
26.175,1.8999999999999986,1.0500000000000007,1.25
28.6,-3.0,0.6000000000000014,-0.3000000000000007
24.825,-0.6999999999999993,-0.049999999999998934,-8.649999999999999
21.25,0.0,0.5,-0.3999999999999986
20.5,0.40000000000000213,0.09999999999999964,-0.09999999999999787
20.25,-0.3999999999999986,0.3999999999999986,0.29999999999999716
20.25,-0.19999999999999574,0.8000000000000007,0.0
20.1,0.1999999999999993,0.09999999999999964,0.20000000000000284
19.775,-0.09999999999999787,-0.45000000000000107,-0.6500000000000021
19.2,2.599999999999998,-0.20000000000000107,-0.10000000000000142
19.275,-0.29999999999999716,0.9499999999999993,1.25
67.19999999999999,-237.2,109.29999999999998,-112.09999999999998
24.4,-42.99999999999999,-29.599999999999998,35.3
51.474999999999994,137.5,-16.549999999999997,-0.3500000000000014
68.875,17.30000000000001,92.35,-7.1499999999999915
22.35,-37.0,28.299999999999997,-22.099999999999998
58.800000000000004,-1.1999999999999957,-0.8000000000000007,-69.00000000000001
10.725,-19.7,-14.85,3.25
18.4,5.800000000000004,33.2,-0.6999999999999993
64.19999999999999,-67.39999999999999,42.4,46.3
86.3,-2.799999999999997,0.3999999999999986,0.20000000000001705
92.9,0.20000000000000284,-2.499999999999993,0.3999999999999915
93.6,2.5999999999999943,2.6000000000000085,2.700000000000003
93.325,1.6999999999999886,2.8499999999999943,-0.15000000000000568
94.525,-4.500000000000014,1.4499999999999957,1.9499999999999886
93.725,0.5,0.15000000000000568,-0.45000000000000284
91.0,3.6000000000000085,-3.6999999999999957,-2.6999999999999886
91.32499999999999,-4.700000000000003,2.6499999999999986,-0.9500000000000028
76.3,-25.59999999999998,5.600000000000001,0.4000000000000057
80.625,-4.299999999999983,-4.549999999999997,6.25
86.55000000000001,8.799999999999997,-1.6999999999999957,1.0000000000000142
89.175,7.5,6.049999999999997,-3.950000000000017
85.975,-1.5,4.650000000000006,-0.04999999999999716
89.55,-4.799999999999997,-1.20000000000001,-2.9000000000000057
81.82499999999999,-8.700000000000003,-8.250000000000007,-2.450000000000003
76.32499999999999,2.1000000000000085,9.050000000000004,-1.9500000000000028
40.125,-9.699999999999989,4.849999999999994,-80.25
2009.0,-448.0,-223.0,31.0
28.425,3.5000000000000036,-2.450000000000001,-5.149999999999999
27.3,-2.6000000000000014,-1.3000000000000007,-0.6000000000000014
25.65,-0.3999999999999986,-1.5999999999999979,-1.3000000000000007
25.450000000000003,1.1999999999999993,-0.9000000000000004,-0.1999999999999993
25.225,-0.09999999999999787,0.6500000000000004,1.5499999999999972
25.725,-0.29999999999999716,0.05000000000000071,0.25
25.525,1.6999999999999957,-2.0500000000000007,-0.05000000000000071
27.675,-1.3000000000000007,-1.1500000000000004,1.0500000000000043
25.075000000000003,-2.6999999999999993,1.1500000000000004,-7.949999999999999
20.85,-0.5999999999999979,-1.7763568394002505e-15,0.20000000000000284
20.55,0.399999999999995,-0.09999999999999964,-0.3999999999999986
20.5,1.0,-0.1999999999999993,-0.09999999999999432
20.425,-0.6999999999999993,0.34999999999999964,0.14999999999999858
20.0,0.3999999999999986,-0.09999999999999787,0.5
19.924999999999997,-0.3000000000000007,0.34999999999999964,-0.25000000000000355
19.075,-1.7000000000000028,0.05000000000000071,-1.5500000000000043
18.4,2.1999999999999957,-2.3000000000000007,1.1999999999999993
41.7,-30.800000000000004,-6.300000000000001,22.3
46.2,154.2,37.3,29.200000000000003
137.625,47.5,37.25,233.14999999999998
66.375,-36.69999999999999,40.75,-38.75
40.974999999999994,30.499999999999993,-12.05,0.6499999999999986
26.950000000000003,23.200000000000003,-26.0,-8.900000000000002
44.35,-94.4,65.8,-53.10000000000001
4.025,11.299999999999999,-5.6499999999999995,-8.05
49.39999999999999,6.6,3.2,75.89999999999999
89.30000000000001,2.200000000000003,1.1999999999999957,-3.499999999999986
91.4,-4.400000000000006,3.6000000000000085,3.799999999999997
92.67500000000001,0.5,1.25,-1.0499999999999972
94.075,2.0999999999999943,-0.8499999999999943,1.450000000000017
93.225,2.299999999999997,-1.250000000000007,2.8500000000000085
94.07499999999999,1.0999999999999943,1.4500000000000028,-0.9500000000000028
92.05,-0.4000000000000057,-0.7999999999999972,0.09999999999999432
91.225,-3.700000000000017,0.25,1.75
79.85,-16.000000000000007,10.099999999999998,14.399999999999991
78.475,12.5,10.350000000000009,6.25
87.325,-1.7000000000000028,1.95000000000001,9.650000000000006
89.375,-5.5,5.150000000000006,2.8499999999999943
85.30000000000001,-1.3999999999999915,-2.6000000000000014,-7.299999999999997
86.4,6.400000000000006,1.7999999999999972,-0.6000000000000085
87.075,-5.300000000000011,5.849999999999994,-2.1500000000000057
71.4,-10.200000000000003,-4.800000000000004,-10.899999999999991
32.825,26.500000000000007,-13.250000000000004,-65.65
1868.25,519.0,260.5,-254.5
31.675,-3.1000000000000014,-1.0500000000000007,-3.3500000000000014
28.85,0.7999999999999972,-1.5,2.8000000000000007
28.1,-0.20000000000000284,0.3999999999999986,-1.6999999999999993
25.475,-1.6999999999999993,-0.7499999999999982,0.8499999999999979
26.299999999999997,0.40000000000000213,-1.5999999999999996,0.8000000000000007
