Dataset,MAE,RMSE,R2_Score,Train_Time_sec
Original,439.1864929199219,622.5788353694654,-0.13298189640045166,0.14452600479125977
LWT Preprocessed,450.5874830676663,616.4750234516139,-0.11087507406985986,0.058040618896484375
