Year,Tmax31,Tmax32,Tmax33,Tmax34,Tmax35,Tmax36,Tmax37,Tmax38,Tmax39,Tmin31,Tmin32,Tmin33,Tmin34,Tmin35,Tmin36,Tmin37,Tmin38,Tmin39,Rain28,Rain29,Rain30,Rain31,Rain32,Rain33,Rain34,Rain35,Rain36,RHI28,RHI29,RHI30,RHI31,RHI32,RHI33,RHI34,RHI35,RHI36,RHII28,RHII29,RHII30,RHII31,RHII32,RHII33,RHII34,RHII35,RHII36,Yield,District_Belagavi,District_ChickkaManglur,District_Dakshinakannada,District_Davanagere,District_Hassan,District_Kodagu,District_Mysuru,District_Shivamogga,District_Udupi,District_Uttarkannada
1998,1.865146513,1.534562362,2.104034142,1.727172536,1.778881411,1.715999483,1.538845229,1.855292067,0.621975463,1.283781072,1.145440432,1.362908899,1.026002687,1.110970827,0.971745081,1.046713368,1.04383143,1.380333687,-1.022277955,-0.853059636,-0.795194543,-0.149481628,-0.817549521,-0.535859225,-0.716074281,-0.225790585,0.478708624,-1.953976016,-1.936355309,-1.476879827,-0.475952703,-1.763634445,-1.111000426,-1.664175095,-1.401199862,0.677529305,-2.994503036,-1.195378011,-2.63591926,-0.984119952,-1.985094323,-1.6194357,-1.621394049,-1.513335107,-0.208638702,3341,0,0,0,0,0,0,0,0,0,0
1999,2.595018834,2.485734515,2.608947379,2.032293282,2.100458252,2.049347595,1.998427551,2.717761815,1.713319676,1.283781072,1.145440432,1.45138212,1.24907974,1.460630052,1.285348872,1.348878624,0.571301917,0.57487268,-0.976964626,-0.879028957,-0.712037451,-0.718168236,-0.751846785,-0.744607883,-0.765442116,-0.783611815,3.036195799,-2.341654448,-2.557875871,-2.242848164,-1.391988768,-1.943838984,-1.920973072,-1.891213367,-1.542611123,-1.135959549,-3.033582577,-2.057732279,-2.575962344,-1.833723223,-1.759432561,-2.025698061,-2.588422212,-2.618923907,-1.690119424,3582,0,0,0,0,0,0,0,0,0,0
2000,1.865146513,1.534562362,2.104034142,1.727172536,1.778881411,1.715999483,1.538845229,1.855292067,0.621975463,1.283781072,1.145440432,1.362908899,1.026002687,1.110970827,0.971745081,1.046713368,1.04383143,1.380333687,-1.022277955,-0.853059636,-0.795194543,-0.149481628,-0.817549521,-0.535859225,-0.716074281,-0.225790585,0.478708624,-1.953976016,-1.936355309,-1.476879827,-0.475952703,-1.763634445,-1.111000426,-1.664175095,-1.401199862,0.677529305,-2.994503036,-1.195378011,-2.63591926,-0.984119952,-1.985094323,-1.6194357,-1.621394049,-1.513335107,-0.208638702,3454,0,0,0,0,0,0,0,0,0,0
2001,2.595018834,2.485734515,2.608947379,2.032293282,2.171919772,1.938231558,1.653740809,1.067819688,0.581555307,1.139869671,1.145440432,1.45138212,1.24907974,1.460630052,1.464551038,1.219379228,1.04383143,0.709116181,-0.976964626,-0.879028957,-0.712037451,-0.718168236,-0.777117068,-0.744607883,0.123178904,0.1000316,-0.072713755,-2.341654448,-2.557875871,-2.242848164,-1.391988768,-1.763634445,-1.883005604,-1.221450463,0.632946741,0.653349454,-3.033582577,-2.057732279,-2.575962344,-1.833723223,-1.735254515,-2.948252173,-2.030218963,-0.399849244,-0.419122302,3397,0,0,0,0,0,0,0,0,0,0
2002,2.740993298,0.855153681,1.464477374,1.693270231,2.243381292,1.901192879,2.343114292,1.967788121,2.400462329,1.811456211,1.057548096,1.761038392,1.29369515,1.591752261,1.50935158,1.219379228,1.34453203,1.78306419,-1.040403287,-0.820597984,-0.795194543,-0.846065626,-0.830184662,-0.744607883,-0.551514833,-0.783611815,-0.809034438,-1.871741197,-1.704808434,-2.265376644,-2.118114918,-2.592575325,-2.617043314,-2.311234172,-2.195278482,-2.272412563,-2.779565562,-1.540319718,-2.0706112,-2.254765552,-2.605664167,-2.931324575,-2.6277323,-2.816350479,-2.119182147,3535,0,0,0,0,0,0,0,0,0,0
2004,1.463716736,1.942207571,1.733764434,1.761074841,2.171919772,1.271535334,0.772874693,1.592801274,1.511218896,1.715515276,1.672794451,1.49561873,1.606003023,1.591752261,1.419750497,1.305712159,1.731147086,1.201342352,-1.013215289,-0.871725086,-0.773997637,-0.53659962,-0.809968436,-0.662413099,-0.477463082,-0.423672122,-0.295246228,-1.98921951,-2.838169457,-2.423076008,-2.419736549,-2.712711684,-1.161623716,-0.846837313,-0.889943764,-0.930430812,-1.499710605,-2.511602947,-2.413222145,-2.187098034,-3.05698769,-1.111607749,-1.071052818,-0.613069941,-1.868220932,3607,0,0,0,0,0,0,0,0,0,0
2005,1.828652897,1.398680626,1.127868549,1.4898564,1.528766091,0.975225901,0.811173219,0.580336787,1.26869796,2.099279013,1.321225105,1.45138212,1.739849255,1.28580044,1.061346164,1.65104388,1.34453203,1.290838019,-1.040403287,-0.471635228,-0.754431263,-0.846065626,-0.122616742,0.018629398,-0.765442116,-0.647141789,-0.809034438,-2.400393604,-1.875421921,-1.600786469,-1.928205002,-0.442134493,-0.237748667,-1.754990404,-1.42295544,-1.377758062,-2.506008777,-1.685558332,-1.214083837,-2.036725774,-1.291990341,-0.358329621,-1.165397029,-0.849981827,-1.123432809,3220,0,0,0,0,0,0,0,0,0,0
2006,1.463716736,1.670444098,1.767425317,2.371316333,2.064727492,2.641966461,1.960129024,0.955323634,1.389958428,1.763485743,1.716740619,1.982221444,1.650618434,1.416922649,1.733354288,1.521544484,1.645232629,1.380333687,-1.026809288,-0.77434013,-0.779704496,-0.665638951,-0.645711597,-0.504546926,-0.640376935,-0.659082916,-0.671587911,-2.435637098,-3.118463044,-2.806060176,-2.687844666,-2.952984403,-1.920973072,-0.597095213,-2.021233853,-1.704186056,-2.154292911,-1.903416252,-2.25904722,-2.781068462,-2.766851139,-2.762048591,-1.008156677,-0.881570078,-1.463444778,3245,0,0,0,0,0,0,0,0,0,0
2007,1.828652897,1.398680626,1.127868549,1.4898564,1.528766091,0.975225901,0.811173219,0.580336787,1.26869796,2.099279013,1.321225105,1.45138212,1.739849255,1.28580044,1.061346164,1.65104388,1.34453203,1.290838019,-1.040403287,-0.471635228,-0.754431263,-0.846065626,-0.122616742,0.018629398,-0.765442116,-0.647141789,-0.809034438,-2.400393604,-1.875421921,-1.600786469,-1.928205002,-0.442134493,-0.237748667,-1.754990404,-1.42295544,-1.377758062,-2.506008777,-1.685558332,-1.214083837,-2.036725774,-1.291990341,-0.358329621,-1.165397029,-0.849981827,-1.123432809,3899,0,0,0,0,0,0,0,0,0,0
2008,1.974627361,0.889124115,1.430816492,1.862781756,1.814612171,1.197457976,0.849471746,1.217814427,1.026177023,2.099279013,1.277278937,1.45138212,1.739849255,1.242093036,1.106146705,1.65104388,0.829045288,0.306385678,-0.937088896,-0.884709746,-0.795194543,-0.200868972,0.049221182,0.956693679,-0.765442116,-0.783611815,-0.809034438,-2.400393604,-1.875421921,-1.600786469,-1.928205002,-0.442134493,-0.237748667,-1.754990404,-1.42295544,-1.377758062,-2.506008777,-1.685558332,-1.214083837,-2.036725774,-1.291990341,-0.358329621,-1.165397029,-0.849981827,-1.123432809,3835,0,0,0,0,0,0,0,0,0,0
